Target ID	Target name	TF list
ENSG00000160870	CYP3A7	ENSG00000170608;ENSG00000102908;ENSG00000109320;ENSG00000173039;ENSG00000185591;ENSG00000172845;ENSG00000111424;
ENSG00000197408	CYP2B6	ENSG00000106546;ENSG00000169136;ENSG00000120738;ENSG00000101076;ENSG00000144852;ENSG00000143257;ENSG00000143257;ENSG00000136931;
ENSG00000165841	CYP2C19	ENSG00000091831;
ENSG00000138115	CYP2C8	ENSG00000101076;ENSG00000144852;
ENSG00000138109	CYP2C9	ENSG00000101076;ENSG00000101076;ENSG00000144852;ENSG00000143257;ENSG00000186951;
ENSG00000100197	CYP2D6	ENSG00000101076;ENSG00000164749;
ENSG00000130649	CYP2E1	ENSG00000131196;ENSG00000109320;ENSG00000173039;ENSG00000166888;
ENSG00000197446	CYP2F1	ENSG00000185591;ENSG00000172845;
ENSG00000134716	CYP2J2	ENSG00000177606;
ENSG00000171320	ESCO2	ENSG00000166478;
ENSG00000160868	CYP3A4	ENSG00000245848;ENSG00000105516;ENSG00000170608;ENSG00000111206;ENSG00000101076;ENSG00000136997;ENSG00000144852;ENSG00000144852;ENSG00000173039;ENSG00000186350;ENSG00000185591;ENSG00000111424;ENSG00000111424;ENSG00000111424;
ENSG00000106258	CYP3A5	ENSG00000185591;ENSG00000172845;ENSG00000111424;ENSG00000100811;
ENSG00000167910	CYP7A1	ENSG00000105516;ENSG00000101076;ENSG00000131910;ENSG00000012504;ENSG00000117707;ENSG00000186350;ENSG00000166949;ENSG00000185591;ENSG00000111424;
ENSG00000180432	CYP8B1	ENSG00000131910;
ENSG00000140459	CYP11A1	ENSG00000118260;ENSG00000183770;ENSG00000141448;ENSG00000134317;ENSG00000177606;ENSG00000123358;ENSG00000136931;ENSG00000116833;ENSG00000137203;ENSG00000115112;ENSG00000153560;
ENSG00000160882	CYP11B1	ENSG00000123268;ENSG00000115966;ENSG00000118260;ENSG00000136931;ENSG00000116833;
ENSG00000179142	CYP11B2	ENSG00000123268;ENSG00000115966;ENSG00000118260;ENSG00000136931;
